tool,dataset,breakpoint_f1,breakpoint_precision,breakpoint_recall,cell_node_match_accuracy,clone_ari,clone_nmi,hscn_error,loh_f1,loh_precision,loh_recall,msr,nrf_distance,retention_rate,tcn_mse,tree_coverage
SEACON,amplitude_1_0_rep42,0.14492753623188404,0.07936507936507936,0.8333333333333334,,0.32517378380827444,,0.7020394736842105,0.8046218487394958,0.9980456026058632,0.6739991201055874,1.0,,,,
SEACON,amplitude_1_0_rep43,0.6433566433566433,0.575,0.7301587301587301,,0.41792268281322775,,0.47858823529411765,0.9139987445072192,0.9817936614969656,0.8549618320610687,0.0,,,,
SEACON,amplitude_1_0_rep44,0.08735632183908046,0.045949214026602174,0.8837209302325582,,0.2731147432388421,,1.5478461538461539,0.9215740999162711,0.9892150988615938,0.8625914315569488,1.0,,,,
SEACON,amplitude_1_0_rep45,0.6760563380281691,0.549618320610687,0.8780487804878049,,0.715815869220918,,0.13423076923076924,0.8942440521872601,0.9904794287657259,0.815053161723559,0.5,,,,
SEACON,amplitude_1_0_rep46,0.0910344827586207,0.04874446085672083,0.6875,,0.38168938966425014,,1.0996428571428571,0.889896373056995,0.9942112879884226,0.8053927315357562,1.0,,,,
SEACON,amplitude_4_0_rep42,0.19076005961251868,0.10666666666666667,0.9014084507042254,,0.6278907939756867,,0.6810752688172043,0.902506963788301,0.9242053789731052,0.8818040435458787,0.5,,,,
SEACON,amplitude_4_0_rep43,0.7294117647058823,0.6326530612244898,0.8611111111111112,,0.5654378278038505,,0.461968085106383,0.8837494883340156,0.934227607096495,0.8384466019417476,0.0,,,,
SEACON,amplitude_4_0_rep44,0.20190476190476192,0.11397849462365592,0.8833333333333333,,0.3137845419699715,,1.7975609756097561,0.8387978142076503,0.9258142340168878,0.7667332667332667,,,,,
SEACON,amplitude_4_0_rep45,0.631578947368421,0.6666666666666666,0.6,,0.4953634735450178,,0.7029347826086957,0.8176758306628437,0.9391708640061992,0.7240143369175627,0.6666666666666666,,,,
SEACON,amplitude_4_0_rep46,0.6153846153846153,0.4943820224719101,0.8148148148148148,,0.5938250941675657,,0.7733552631578947,0.7448539971278123,0.8790960451977401,0.6461794019933554,,,,,
SEACON,beta_0_1_rep42,0.2753623188405797,0.1623931623931624,0.9047619047619048,,0.3286628851195717,,0.50125,0.9341242585076491,0.988110964332893,0.8857312018946122,0.8,,,,
SEACON,beta_0_1_rep43,0.6417910447761194,0.5443037974683544,0.7818181818181819,,0.259170565919162,,0.4027272727272727,0.8449559918754233,0.9369369369369369,0.7694204685573366,,,,,
SEACON,beta_0_1_rep44,0.38333333333333336,0.24083769633507854,0.9387755102040817,,0.3007217308465112,,1.455774647887324,0.9070772555375474,0.9970308788598575,0.83201189296333,0.6666666666666666,,,,
SEACON,beta_0_1_rep45,0.7543859649122807,0.8431372549019608,0.6825396825396826,,0.6096791165372819,,0.4166470588235294,0.8628055494384497,0.9350835322195704,0.8008994276369583,1.0,,,,
SEACON,beta_0_1_rep46,0.7294117647058824,0.6739130434782609,0.7948717948717948,,0.5975257012609451,,1.0298360655737704,0.6353944562899786,0.9933333333333333,0.4670846394984326,,,,,
SEACON,beta_0_3_rep42,0.28571428571428575,0.16964285714285715,0.9047619047619048,,0.5451336458700994,,0.568671875,0.9227311042427648,0.9826451226810293,0.8697033898305084,0.42857142857142855,,,,
SEACON,beta_0_3_rep43,0.6478873239436619,0.5287356321839081,0.8363636363636363,,0.18327199255315008,,0.7139610389610389,0.8719948018193632,0.9696531791907514,0.7922077922077922,,,,,
SEACON,beta_0_3_rep44,0.13202247191011238,0.07088989441930618,0.9591836734693877,,0.30516737000610805,,1.0633098591549295,0.9075810340208947,0.9912229373902867,0.8369565217391305,0.6666666666666666,,,,
SEACON,beta_0_3_rep45,0.7478260869565218,0.8269230769230769,0.6825396825396826,,0.7414747361125948,,0.34511764705882353,0.8741949334478316,0.9356617647058824,0.8203062046736502,1.0,,,,
SEACON,beta_0_3_rep46,0.7654320987654322,0.7380952380952381,0.7948717948717948,,0.3885731529513356,,1.0077868852459015,0.5972369819341127,1.0,0.4257575757575758,,,,,
SEACON,beta_0_5_rep42,0.2611683848797251,0.15261044176706828,0.9047619047619048,,0.2549951276161692,,1.30140625,0.903869407496977,0.9881031064111038,0.8328690807799443,1.0,,,,
SEACON,beta_0_5_rep43,0.8333333333333334,0.8490566037735849,0.8181818181818182,,0.2285837129592718,,0.4755844155844156,0.8493827160493828,0.9476584022038568,0.7695749440715883,,,,,
SEACON,beta_0_5_rep44,0.1116751269035533,0.05953991880920163,0.8979591836734694,,0.2999358107406793,,1.4487323943661972,0.9186449719925313,0.9959514170040485,0.8524752475247525,0.6666666666666666,,,,
SEACON,beta_0_5_rep45,0.7478260869565218,0.8269230769230769,0.6825396825396826,,0.7670499092364237,,0.3029411764705882,0.8823900694298338,0.9374161823871257,0.8334658187599364,1.0,,,,
SEACON,beta_0_5_rep46,0.4689655172413793,0.32075471698113206,0.8717948717948718,,0.3502384188218995,,1.4864754098360655,0.6788813886210222,0.9915492957746479,0.5161290322580645,,,,,
SEACON,cells_500_rep42,0.05004389815627743,0.025664115263394866,1.0,,0.706218392209868,,1.410126582278481,0.9200893624334078,0.9972061836468616,0.8540437071303238,0.9411764705882353,,,,
SEACON,cells_500_rep43,0.08076923076923079,0.042112299465240643,0.984375,,0.5195103841929363,,0.6941627906976744,0.9459661354581673,0.9751026694045175,0.9185203094777563,0.6,,,,
SEACON,cells_500_rep44,0.034688346883468835,0.01765030336458908,1.0,,0.9535764178571388,,1.738186046511628,0.9397022598264967,0.9943336355394379,0.890761421319797,0.3333333333333333,,,,
SEACON,cells_500_rep45,0.05462445685909373,0.0280970625798212,0.9777777777777777,,0.5662050125021396,,0.6731940298507463,0.9530868356775879,0.9921094160967912,0.9170178282009724,,,,,
SEACON,cells_500_rep46,0.12371134020618557,0.06624605678233439,0.9333333333333333,,0.41548831096617883,,0.8308955223880597,0.8720412884854957,0.9967453213995118,0.7750711800063271,1.0,,,,
SEACON,cells_50_rep42,0.7580645161290324,0.7014925373134329,0.8245614035087719,,0.4611945916455557,,0.8617721518987341,0.8729184925503944,0.9861386138613861,0.7830188679245284,1.0,,,,
SEACON,cells_50_rep43,0.8503937007874015,0.8571428571428571,0.84375,,0.6192759702690221,,0.35953488372093023,0.8501362397820164,0.9397590361445783,0.7761194029850746,0.2,,,,
SEACON,cells_50_rep44,0.7737226277372263,0.726027397260274,0.828125,,0.41887116289730236,,0.6551162790697674,0.8525714285714285,0.9815789473684211,0.7535353535353535,0.6666666666666666,,,,
SEACON,cells_50_rep45,0.7526881720430108,0.7291666666666666,0.7777777777777778,,0.4213147628477664,,0.5408955223880597,0.9059288537549408,0.9424342105263158,0.8721461187214612,,,,,
SEACON,cells_50_rep46,0.7252747252747253,0.717391304347826,0.7333333333333333,,0.37089871611982883,,1.1346268656716418,0.7709677419354838,0.9958333333333333,0.6289473684210526,1.0,,,,
SEACON,clone_2_rep42,0.1837837837837838,0.1033434650455927,0.8292682926829268,,0.7537379728254165,,2.795714285714286,0.850020104543627,0.9787037037037037,0.7512437810945274,,,,,
SEACON,clone_2_rep43,0.15816326530612243,0.08707865168539326,0.8611111111111112,,-0.03891107018446872,,1.5505172413793102,0.9657210401891254,0.9600470035252644,0.9714625445897741,,,,,
SEACON,clone_2_rep44,0.07094918504314476,0.036926147704590816,0.9024390243902439,,0.17850427884919134,,1.0455555555555556,0.9476405946994183,0.984553391537945,0.9133956386292835,1.0,,,,
SEACON,clone_2_rep45,0.0966702470461869,0.05125284738041002,0.8490566037735849,,0.6526150707924304,,2.728466666666667,0.8830424589736912,0.9929701230228472,0.7950281425891182,0.75,,,,
SEACON,clone_2_rep46,0.5660377358490566,0.5357142857142857,0.6,,-0.08950021894997054,,0.9164893617021277,0.9201451905626135,0.9863813229571985,0.8622448979591837,,,,,
SEACON,clone_4_rep42,0.25,0.1450381679389313,0.9047619047619048,,0.2618614076859113,,1.816171875,0.9052950075642966,0.990728476821192,0.8334261838440111,1.0,,,,
SEACON,clone_4_rep43,0.5974025974025974,0.46464646464646464,0.8363636363636363,,0.26230992275968396,,0.7201298701298702,0.8806783767413687,0.9603698811096433,0.8131991051454138,,,,,
SEACON,clone_4_rep44,0.3111111111111111,0.19004524886877827,0.8571428571428571,,0.35639301056380457,,0.8883098591549295,0.9077669902912622,0.9970379146919431,0.8331683168316831,0.6666666666666666,,,,
SEACON,clone_4_rep45,0.7226890756302521,0.7678571428571429,0.6825396825396826,,0.5583189053483076,,0.367,0.8806913996627318,0.9376122082585279,0.8302861685214626,1.0,,,,
SEACON,clone_4_rep46,0.32323232323232326,0.20125786163522014,0.8205128205128205,,0.3686736554698481,,1.5268852459016393,0.6408730158730159,0.99079754601227,0.4736070381231672,,,,,
SEACON,clone_8_rep42,0.5833333333333334,0.717948717948718,0.49122807017543857,,0.28806330797283414,,0.839873417721519,0.799073537927041,0.9504132231404959,0.6893106893106893,0.75,,,,
SEACON,clone_8_rep43,0.6373626373626374,0.9354838709677419,0.48333333333333334,,0.7058694653737644,,0.22859756097560976,0.9135654261704682,0.9895968790637191,0.8483835005574136,1.0,,,,
SEACON,clone_8_rep44,0.11428571428571427,0.06306306306306306,0.6086956521739131,,0.23093551066436496,,1.2491911764705883,0.8456425406203841,0.979469632164243,0.7439896036387265,0.5,,,,
SEACON,clone_8_rep45,0.09126984126984128,0.05066079295154185,0.46,,0.561690280135918,,0.7028472222222222,0.9152542372881356,0.9901477832512315,0.8508936970837253,0.0,,,,
SEACON,clone_8_rep46,0.1181818181818182,0.06735751295336788,0.48148148148148145,,0.18904420283685885,,2.8120394736842105,0.882734236888627,0.9973368841544608,0.7917547568710359,,,,,
SEACON,events_10_rep42,0.03636363636363636,0.01871657754010695,0.6363636363636364,,0.5154194036449591,,0.08833333333333333,0.8816666666666667,1.0,0.7883755588673621,0.0,,,,
SEACON,events_10_rep43,0.923076923076923,0.8571428571428571,1.0,,0.08918273117713055,,0.895375,0.9540229885057471,0.9803149606299213,0.9291044776119403,,,,,
SEACON,events_10_rep44,0.5909090909090909,0.48148148148148145,0.7647058823529411,,0.4180514701571172,,1.0125641025641026,0.8754285714285714,0.9033018867924528,0.8492239467849224,,,,,
