method,dataset,rep,clones,beta,lambdaE,N,pNormal,lambdaDelta,focal,mean_library_size,mean_allelic_coverage,phase_switch,wgd,doublet,hscn_error,tcn_mse,clone_ari,clone_nmi,loh_f1,loh_precision,loh_recall,msr,breakpoint_f1,breakpoint_precision,breakpoint_recall,nrf_distance,tree_coverage,cell_node_match_accuracy,retention_rate
Alleloscope,doublet_0_05_rep43,43,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.05,0.1612,NA,0.6685,NA,0.4284,0.5808,0.3393,NA,NA,NA,NA,NA,NA,NA,0.65
Alleloscope,doublet_0_05_rep44,44,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.05,0.625,NA,0.9842,NA,0.3384,0.3919,0.2977,NA,NA,NA,NA,NA,NA,NA,0.58
Alleloscope,doublet_0_05_rep45,45,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.05,0.3181,NA,0.6275,NA,0.6408,0.7087,0.5848,NA,NA,NA,NA,NA,NA,NA,0.63
Alleloscope,doublet_0_05_rep46,46,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.05,0.2423,NA,0.8701,NA,0.3793,0.5911,0.2792,NA,NA,NA,NA,NA,NA,NA,0.66
Alleloscope,events_10_rep42,42,4,0.5,10.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.1,NA,0.4508,NA,0.5329,1,0.3632,NA,NA,NA,NA,NA,NA,NA,0.63
Alleloscope,events_10_rep43,43,4,0.5,10.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.1214,NA,0.6899,NA,0.4922,0.75,0.3663,NA,NA,NA,NA,NA,NA,NA,0.63
Alleloscope,events_10_rep44,44,4,0.5,10.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.261,NA,0.5902,NA,0.584,0.5,0.702,NA,NA,NA,NA,NA,NA,NA,0.615
Alleloscope,events_10_rep45,45,4,0.5,10.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.1135,NA,0.3447,NA,0.1513,0.5,0.0891,NA,NA,NA,NA,NA,NA,NA,0.635
Alleloscope,events_10_rep46,46,4,0.5,10.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.1374,NA,0.5325,NA,0.0048,0.5,0.0024,NA,NA,NA,NA,NA,NA,NA,0.605
Alleloscope,events_80_rep42,42,4,0.5,80.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.5575,NA,0.5479,NA,0.3845,0.6778,0.2684,NA,NA,NA,NA,NA,NA,NA,0.535
Alleloscope,events_80_rep43,43,4,0.5,80.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.3414,NA,0.6456,NA,0.5665,0.6104,0.5286,NA,NA,NA,NA,NA,NA,NA,0.56
Alleloscope,events_80_rep44,44,4,0.5,80.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.8019,NA,0.838,NA,0.4397,0.5807,0.3538,NA,NA,NA,NA,NA,NA,NA,0.54
Alleloscope,events_80_rep45,45,4,0.5,80.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.4813,NA,0.8699,NA,0.6857,0.7441,0.6358,NA,NA,NA,NA,NA,NA,NA,0.545
Alleloscope,events_80_rep46,46,4,0.5,80.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.2973,NA,0.6736,NA,0.4787,0.6167,0.3911,NA,NA,NA,NA,NA,NA,NA,0.685
Alleloscope,focal_0_3_rep42,42,4,0.5,40.0,200,0.1,2.0,0.3,100.0,0.2,0.01,0.0,0.0,0.4809,NA,1,NA,0.5419,0.5755,0.512,NA,NA,NA,NA,NA,NA,NA,0.61
Alleloscope,focal_0_3_rep43,43,4,0.5,40.0,200,0.1,2.0,0.3,100.0,0.2,0.01,0.0,0.0,0.3052,NA,0.8025,NA,0.6995,0.6462,0.7624,NA,NA,NA,NA,NA,NA,NA,0.605
Alleloscope,focal_0_3_rep44,44,4,0.5,40.0,200,0.1,2.0,0.3,100.0,0.2,0.01,0.0,0.0,0.6463,NA,0.642,NA,0.7125,0.6273,0.8244,NA,NA,NA,NA,NA,NA,NA,0.535
Alleloscope,focal_0_3_rep45,45,4,0.5,40.0,200,0.1,2.0,0.3,100.0,0.2,0.01,0.0,0.0,0.5473,NA,1,NA,0.6849,0.6858,0.6839,NA,NA,NA,NA,NA,NA,NA,0.675
Alleloscope,focal_0_3_rep46,46,4,0.5,40.0,200,0.1,2.0,0.3,100.0,0.2,0.01,0.0,0.0,0.6104,NA,0.8297,NA,0.6661,0.5949,0.7566,NA,NA,NA,NA,NA,NA,NA,0.64
Alleloscope,focal_1_0_rep42,42,4,0.5,40.0,200,0.1,2.0,1.0,100.0,0.2,0.01,0.0,0.0,0.3877,NA,0.3488,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.595
Alleloscope,focal_1_0_rep43,43,4,0.5,40.0,200,0.1,2.0,1.0,100.0,0.2,0.01,0.0,0.0,0.2373,NA,0.0132,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.625
Alleloscope,focal_1_0_rep44,44,4,0.5,40.0,200,0.1,2.0,1.0,100.0,0.2,0.01,0.0,0.0,0.5018,NA,0.5511,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.635
Alleloscope,focal_1_0_rep45,45,4,0.5,40.0,200,0.1,2.0,1.0,100.0,0.2,0.01,0.0,0.0,0.2943,NA,0.6275,NA,0.0056,0.3846,0.0028,NA,NA,NA,NA,NA,NA,NA,0.585
Alleloscope,focal_1_0_rep46,46,4,0.5,40.0,200,0.1,2.0,1.0,100.0,0.2,0.01,0.0,0.0,0.196,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.655
Alleloscope,normal_0_0_rep42,42,4,0.5,40.0,200,0.0,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.6023,NA,0.781,NA,0.4728,0.5765,0.4008,NA,NA,NA,NA,NA,NA,NA,0.63
Alleloscope,normal_0_0_rep43,43,4,0.5,40.0,200,0.0,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.1844,NA,1,NA,0.4367,0.5788,0.3506,NA,NA,NA,NA,NA,NA,NA,0.64
Alleloscope,normal_0_0_rep44,44,4,0.5,40.0,200,0.0,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.6156,NA,1,NA,0.3228,0.5554,0.2275,NA,NA,NA,NA,NA,NA,NA,0.65
Alleloscope,normal_0_0_rep45,45,4,0.5,40.0,200,0.0,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.4416,NA,1,NA,0.6462,0.6775,0.6177,NA,NA,NA,NA,NA,NA,NA,0.655
Alleloscope,normal_0_0_rep46,46,4,0.5,40.0,200,0.0,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.2628,NA,0.7212,NA,0.4191,0.7106,0.2972,NA,NA,NA,NA,NA,NA,NA,0.655
Alleloscope,normal_0_3_rep42,42,4,0.5,40.0,200,0.3,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.2842,NA,0.6944,NA,0.5289,0.7619,0.4051,NA,NA,NA,NA,NA,NA,NA,0.66
Alleloscope,normal_0_3_rep43,43,4,0.5,40.0,200,0.3,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.0755,NA,0.4678,NA,0.4149,0.5654,0.3276,NA,NA,NA,NA,NA,NA,NA,0.675
Alleloscope,normal_0_3_rep44,44,4,0.5,40.0,200,0.3,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.4991,NA,0.9154,NA,0.2884,0.649,0.1854,NA,NA,NA,NA,NA,NA,NA,0.605
Alleloscope,normal_0_3_rep45,45,4,0.5,40.0,200,0.3,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.2124,NA,0.9693,NA,0.6756,0.7539,0.612,NA,NA,NA,NA,NA,NA,NA,0.585
Alleloscope,normal_0_3_rep46,46,4,0.5,40.0,200,0.3,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.1696,NA,0.513,NA,0.4176,0.7037,0.2969,NA,NA,NA,NA,NA,NA,NA,0.635
Alleloscope,phaseswitch_0_05_rep42,42,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.05,0.0,0.0,0.4183,NA,0.6477,NA,0.5302,0.7805,0.4014,NA,NA,NA,NA,NA,NA,NA,0.585
Alleloscope,phaseswitch_0_05_rep43,43,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.05,0.0,0.0,0.1512,NA,0.6541,NA,0.4247,0.5619,0.3414,NA,NA,NA,NA,NA,NA,NA,0.615
