tool,dataset,runtime_seconds,runtime_minutes
SCICoNE,cells_500_rep44,592,9.87
SCICoNE,cells_500_rep45,578,9.63
SCICoNE,cells_500_rep46,780,13.0
SCICoNE,cells_50_rep42,380,6.33
SCICoNE,cells_50_rep43,268,4.47
SCICoNE,cells_50_rep44,290,4.83
SCICoNE,cells_50_rep45,289,4.82
SCICoNE,cells_50_rep46,413,6.88
SCICoNE,clone_2_rep42,340,5.67
SCICoNE,clone_2_rep43,318,5.3
SCICoNE,clone_2_rep44,415,6.92
SCICoNE,clone_2_rep45,379,6.32
SCICoNE,clone_2_rep46,287,4.78
SCICoNE,clone_4_rep42,393,6.55
SCICoNE,clone_4_rep43,367,6.12
SCICoNE,clone_4_rep44,401,6.68
SCICoNE,clone_4_rep45,339,5.65
SCICoNE,clone_4_rep46,373,6.22
SCICoNE,clone_8_rep42,424,7.07
SCICoNE,clone_8_rep43,425,7.08
SCICoNE,clone_8_rep44,437,7.28
SCICoNE,clone_8_rep45,368,6.13
SCICoNE,clone_8_rep46,504,8.4
SCICoNE,events_10_rep42,350,5.83
SCICoNE,events_10_rep43,319,5.32
SCICoNE,events_10_rep44,460,7.67
SCICoNE,events_10_rep45,333,5.55
SCICoNE,events_10_rep46,262,4.37
SCICoNE,events_80_rep42,413,6.88
SCICoNE,events_80_rep43,408,6.8
SCICoNE,events_80_rep44,400,6.67
SCICoNE,events_80_rep45,383,6.38
SCICoNE,events_80_rep46,524,8.73
SCICoNE,focal_0_3_rep42,441,7.35
SCICoNE,focal_0_3_rep43,363,6.05
SCICoNE,focal_0_3_rep44,405,6.75
SCICoNE,focal_0_3_rep45,493,8.22
SCICoNE,focal_0_3_rep46,428,7.13
SCICoNE,focal_1_0_rep42,306,5.1
SCICoNE,focal_1_0_rep43,346,5.77
SCICoNE,focal_1_0_rep44,296,4.93
SCICoNE,focal_1_0_rep45,528,8.8
SCICoNE,focal_1_0_rep46,344,5.73
SCICoNE,normal_0_0_rep42,317,5.28
SCICoNE,normal_0_0_rep43,382,6.37
SCICoNE,normal_0_0_rep44,689,11.48
SCICoNE,normal_0_0_rep45,347,5.78
SCICoNE,normal_0_0_rep46,274,4.57
SCICoNE,normal_0_3_rep42,414,6.9
SCICoNE,normal_0_3_rep43,396,6.6
SCICoNE,normal_0_3_rep44,424,7.07
SCICoNE,normal_0_3_rep45,400,6.67
SCICoNE,normal_0_3_rep46,322,5.37
SEACON,amplitude_1_0_rep42,4730,78.83
SEACON,amplitude_1_0_rep43,5568,92.8
SEACON,amplitude_1_0_rep44,4317,71.95
SEACON,amplitude_1_0_rep45,5240,87.33
SEACON,amplitude_1_0_rep46,4914,81.9
SEACON,amplitude_4_0_rep42,4940,82.33
SEACON,amplitude_4_0_rep43,4629,77.15
SEACON,amplitude_4_0_rep44,5807,96.78
SEACON,amplitude_4_0_rep45,3449,57.48
SEACON,amplitude_4_0_rep46,3878,64.63
SEACON,beta_0_1_rep42,3973,66.22
SEACON,beta_0_1_rep43,4533,75.55
SEACON,beta_0_1_rep44,3811,63.52
SEACON,beta_0_1_rep45,3658,60.97
SEACON,beta_0_1_rep46,3927,65.45
SEACON,beta_0_3_rep42,3968,66.13
SEACON,beta_0_3_rep43,5205,86.75
SEACON,beta_0_3_rep44,3704,61.73
SEACON,beta_0_3_rep45,3844,64.07
SEACON,beta_0_3_rep46,3445,57.42
SEACON,beta_0_5_rep42,3970,66.17
SEACON,beta_0_5_rep43,3527,58.78
SEACON,beta_0_5_rep44,3892,64.87
SEACON,beta_0_5_rep45,3697,61.62
SEACON,beta_0_5_rep46,5131,85.52
SEACON,cells_500_rep42,12603,210.05
SEACON,cells_500_rep43,12356,205.93
SEACON,cells_500_rep44,13131,218.85
SEACON,cells_500_rep45,12296,204.93
SEACON,cells_500_rep46,12779,212.98
SEACON,cells_50_rep42,924,15.4
SEACON,cells_50_rep43,1258,20.97
SEACON,cells_50_rep44,961,16.02
SEACON,cells_50_rep45,931,15.52
SEACON,cells_50_rep46,1365,22.75
SEACON,clone_2_rep42,5912,98.53
SEACON,clone_2_rep43,4345,72.42
SEACON,clone_2_rep44,5856,97.6
SEACON,clone_2_rep45,5317,88.62
SEACON,clone_2_rep46,4373,72.88
SEACON,clone_4_rep42,3866,64.43
SEACON,clone_4_rep43,4177,69.62
SEACON,clone_4_rep44,4541,75.68
SEACON,clone_4_rep45,3465,57.75
SEACON,clone_4_rep46,3754,62.57
SEACON,clone_8_rep42,5194,86.57
SEACON,clone_8_rep43,3432,57.2
SEACON,clone_8_rep44,3765,62.75
SEACON,clone_8_rep45,5795,96.58
SEACON,clone_8_rep46,5595,93.25
SEACON,events_10_rep42,3952,65.87
SEACON,events_10_rep43,3750,62.5
SEACON,events_10_rep44,4832,80.53
SEACON,events_10_rep45,3470,57.83
SEACON,events_10_rep46,3461,57.68
SEACON,events_80_rep42,4126,68.77
SEACON,events_80_rep43,3561,59.35
SEACON,events_80_rep44,3497,58.28
SEACON,events_80_rep45,3726,62.1
SEACON,events_80_rep46,4903,81.72
SEACON,focal_0_3_rep42,3739,62.32
SEACON,focal_0_3_rep43,3568,59.47
SEACON,focal_0_3_rep44,3762,62.7
SEACON,focal_0_3_rep45,4614,76.9
SEACON,focal_0_3_rep46,3748,62.47
SEACON,focal_1_0_rep42,5266,87.77
SEACON,focal_1_0_rep43,3338,55.63
SEACON,focal_1_0_rep44,3914,65.23
SEACON,focal_1_0_rep45,4313,71.88
SEACON,focal_1_0_rep46,3813,63.55
SEACON,normal_0_0_rep42,4833,80.55
SEACON,normal_0_0_rep43,3891,64.85
SEACON,normal_0_0_rep44,3889,64.82
SEACON,normal_0_0_rep45,3497,58.28
SEACON,normal_0_0_rep46,3614,60.23
SEACON,normal_0_3_rep42,3539,58.98
SEACON,normal_0_3_rep43,3555,59.25
SEACON,normal_0_3_rep44,3772,62.87
SEACON,normal_0_3_rep45,3532,58.87
SEACON,normal_0_3_rep46,3867,64.45
