tool,dataset,breakpoint_f1,clone_ari,hscn_error,loh_f1,msr,nrf_distance,tcn_mse,tree_coverage
SEACON,clone_4_rep43,0.5974025974025974,0.26230992275968396,0.7201298701298702,0.8806783767413687,,,,
SEACON,clone_4_rep44,0.3111111111111111,0.35639301056380457,0.8883098591549295,0.9077669902912622,0.6666666666666666,,,
SEACON,clone_4_rep45,0.7226890756302521,0.5583189053483076,0.367,0.8806913996627318,1.0,,,
SEACON,clone_4_rep46,0.32323232323232326,0.3686736554698481,1.5268852459016393,0.6408730158730159,,,,
SEACON,clone_8_rep42,0.5833333333333334,0.28806330797283414,0.839873417721519,0.799073537927041,0.75,,,
SEACON,clone_8_rep43,0.6373626373626374,0.7058694653737644,0.22859756097560976,0.9135654261704682,1.0,,,
SEACON,clone_8_rep44,0.11428571428571427,0.23093551066436496,1.2491911764705883,0.8456425406203841,0.5,,,
SEACON,clone_8_rep45,0.09126984126984128,0.561690280135918,0.7028472222222222,0.9152542372881356,0.0,,,
SEACON,clone_8_rep46,0.1181818181818182,0.18904420283685885,2.8120394736842105,0.882734236888627,,,,
SEACON,events_10_rep42,0.03636363636363636,0.5154194036449591,0.08833333333333333,0.8816666666666667,0.0,,,
SEACON,events_10_rep43,0.923076923076923,0.08918273117713055,0.895375,0.9540229885057471,,,,
SEACON,events_10_rep44,0.5909090909090909,0.4180514701571172,1.0125641025641026,0.8754285714285714,,,,
SEACON,events_10_rep45,0.8148148148148148,0.5889878069435072,0.23652777777777778,0.6666666666666667,,,,
SEACON,events_10_rep46,0.12903225806451613,0.17982393308831884,0.663625,0.6878727634194831,,,,
SEACON,events_80_rep42,0.6690647482014388,0.3119148931840147,1.2225912408759123,0.8285435419151935,0.8,,,
SEACON,events_80_rep43,0.2369337979094077,0.48516281373872505,0.645531914893617,0.8989696239796601,0.16666666666666666,,,
SEACON,events_80_rep44,0.2291407222914072,0.6993768984022606,0.7014615384615385,0.9174518639901679,0.6521739130434783,,,
SEACON,events_80_rep45,0.1418867924528302,0.6738708004816465,0.6511811023622047,0.9257717655220258,0.918918918918919,,,
SEACON,events_80_rep46,0.7631578947368421,0.6061336682862013,1.2390291262135922,0.7867036011080332,1.0,,,
SEACON,focal_0_3_rep42,0.08117249154453214,0.5565919462324191,2.1144166666666666,0.9321141590468274,0.6666666666666666,,,
SEACON,focal_0_3_rep43,0.9090909090909091,0.6455205152038241,0.4736206896551724,0.9380315917375457,0.0,,,
SEACON,focal_0_3_rep44,0.1033112582781457,0.7615265199476515,0.49446969696969695,0.9590429845904298,0.6,,,
SEACON,focal_0_3_rep45,0.12687813021702835,0.6840798638492211,0.9452459016393443,0.9498029809833818,0.9545454545454546,,,
SEACON,focal_0_3_rep46,0.09843400447427293,0.6204786037182435,0.3334375,0.9475758770201025,1.0,,,
SEACON,focal_1_0_rep42,0.3462532299741602,0.20907943667411996,1.297659574468085,0.8892850069320657,1.0,,,
SEACON,focal_1_0_rep43,0.7591240875912408,0.5991181234585214,0.7338823529411764,0.717891194615816,,,,
SEACON,focal_1_0_rep44,0.5507246376811594,0.4369655870905097,1.0225824175824176,0.8132530120481928,,,,
SEACON,focal_1_0_rep45,0.5745454545454545,0.4534386212403279,0.5292460317460318,0.8060641858633588,0.0,,,
SEACON,focal_1_0_rep46,0.7222222222222221,0.2968557685544341,0.6356547619047619,0.4960806270996641,,,,
SEACON,normal_0_0_rep42,0.1366120218579235,0.268162317752068,1.114367088607595,0.8848651840188938,0.9,,,
SEACON,normal_0_0_rep43,0.8148148148148148,0.15835086580307273,0.6808720930232558,0.8589435774309724,0.75,,,
SEACON,normal_0_0_rep44,0.1265560165975104,0.4398535421121687,0.9219767441860465,0.8838444820091765,0.5833333333333334,,,
SEACON,normal_0_0_rep45,0.2679127725856698,0.4660206603468867,0.7047014925373134,0.9049250535331905,,,,
SEACON,normal_0_0_rep46,0.20192307692307693,0.4948225095373085,0.6577611940298508,0.8773800456968774,1.0,,,
SEACON,normal_0_3_rep42,0.27450980392156865,0.546446071977037,0.4175949367088608,0.8830359671481167,1.0,,,
SEACON,normal_0_3_rep43,0.847457627118644,0.34458028946326125,1.2599418604651162,0.8494921514312096,1.0,,,
SEACON,normal_0_3_rep44,0.12949640287769784,0.5191152253914223,1.225813953488372,0.8550084889643462,0.6666666666666666,,,
SEACON,normal_0_3_rep45,0.7777777777777778,0.46654498336695727,0.9667164179104477,0.8760012816404998,,,,
SEACON,normal_0_3_rep46,0.489795918367347,0.5370923293341425,0.4698507462686567,0.8060220034742328,1.0,,,
Alleloscope,amplitude_1_0_rep42,,0.8694,0.2484,0.5212,,,,
Alleloscope,amplitude_1_0_rep43,,0.8322,0.1389,0.4615,,,,
Alleloscope,amplitude_1_0_rep44,,1,0.2976,0.6133,,,,
Alleloscope,amplitude_1_0_rep45,,0.8655,0.2504,0.5185,,,,
Alleloscope,amplitude_1_0_rep46,,0.6202,0.2696,0.0217,,,,
Alleloscope,amplitude_4_0_rep42,,0.8368,0.5858,0.2871,,,,
Alleloscope,amplitude_4_0_rep43,,0.8095,0.1834,0.4718,,,,
Alleloscope,amplitude_4_0_rep44,,0.6743,0.4708,0.2464,,,,
Alleloscope,amplitude_4_0_rep45,,0.5894,0.4419,0.3581,,,,
Alleloscope,amplitude_4_0_rep46,,0.8495,0.5893,0.0755,,,,
Alleloscope,beta_0_1_rep42,,0.7387,0.2593,0.4443,,,,
Alleloscope,beta_0_1_rep43,,0.7695,0.1155,0.2091,,,,
Alleloscope,beta_0_1_rep44,,1,0.3889,0.5659,,,,
Alleloscope,beta_0_1_rep45,,1,0.2361,0.5966,,,,
Alleloscope,beta_0_1_rep46,,0.8104,0.3273,0,,,,
Alleloscope,beta_0_3_rep42,,0.9512,0.3253,0.5263,,,,
Alleloscope,beta_0_3_rep43,,0.8419,0.1473,0.2276,,,,
Alleloscope,beta_0_3_rep44,,1,0.4027,0.558,,,,
Alleloscope,beta_0_3_rep45,,1,0.221,0.6191,,,,
Alleloscope,beta_0_3_rep46,,0.7767,0.3304,0.0134,,,,
Alleloscope,beta_0_5_rep42,,0.9125,0.3359,0.512,,,,
Alleloscope,beta_0_5_rep43,,0.807,0.1807,0.2086,,,,
Alleloscope,beta_0_5_rep44,,1,0.4234,0.5511,,,,
Alleloscope,beta_0_5_rep45,,0.6748,0.2266,0.6212,,,,
