cell	cell_index	clone_assignment	segment	start_bin	end_bin	cn_A	cn_B	total_cn	loh
cell48	48	3	6	90	243	1	2	3	False
cell48	48	3	7	244	497	1	1	2	False
cell49	49	3	0	0	46	1	2	3	False
cell49	49	3	1	47	74	1	2	3	False
cell49	49	3	2	75	80	1	2	3	False
cell49	49	3	3	81	83	1	2	3	False
cell49	49	3	4	84	86	1	2	3	False
cell49	49	3	5	87	89	1	2	3	False
cell49	49	3	6	90	243	1	2	3	False
cell49	49	3	7	244	497	1	1	2	False
cell50	50	4	0	0	46	1	2	3	False
cell50	50	4	1	47	74	1	2	3	False
cell50	50	4	2	75	80	1	2	3	False
cell50	50	4	3	81	83	1	2	3	False
cell50	50	4	4	84	86	1	2	3	False
cell50	50	4	5	87	89	1	2	3	False
cell50	50	4	6	90	243	1	2	3	False
cell50	50	4	7	244	497	1	1	2	False
cell51	51	3	0	0	46	1	2	3	False
cell51	51	3	1	47	74	1	2	3	False
cell51	51	3	2	75	80	1	2	3	False
cell51	51	3	3	81	83	1	2	3	False
cell51	51	3	4	84	86	1	2	3	False
cell51	51	3	5	87	89	1	2	3	False
cell51	51	3	6	90	243	1	2	3	False
cell51	51	3	7	244	497	1	1	2	False
cell52	52	8	0	0	46	1	1	2	False
cell52	52	8	1	47	74	2	1	3	False
cell52	52	8	2	75	80	2	0	2	True
cell52	52	8	3	81	83	1	0	1	True
cell52	52	8	4	84	86	0	0	0	False
cell52	52	8	5	87	89	1	0	1	True
cell52	52	8	6	90	243	1	1	2	False
cell52	52	8	7	244	497	1	1	2	False
cell53	53	3	0	0	46	1	2	3	False
cell53	53	3	1	47	74	1	2	3	False
cell53	53	3	2	75	80	1	2	3	False
cell53	53	3	3	81	83	1	2	3	False
cell53	53	3	4	84	86	1	2	3	False
cell53	53	3	5	87	89	1	2	3	False
cell53	53	3	6	90	243	1	2	3	False
cell53	53	3	7	244	497	1	1	2	False
cell54	54	8	0	0	46	1	1	2	False
cell54	54	8	1	47	74	2	1	3	False
cell54	54	8	2	75	80	2	0	2	True
cell54	54	8	3	81	83	1	0	1	True
cell54	54	8	4	84	86	0	0	0	False
cell54	54	8	5	87	89	1	0	1	True
cell54	54	8	6	90	243	1	1	2	False
cell54	54	8	7	244	497	1	1	2	False
cell55	55	4	0	0	46	1	2	3	False
cell55	55	4	1	47	74	1	2	3	False
cell55	55	4	2	75	80	1	2	3	False
cell55	55	4	3	81	83	1	2	3	False
cell55	55	4	4	84	86	1	2	3	False
cell55	55	4	5	87	89	1	2	3	False
cell55	55	4	6	90	243	1	2	3	False
cell55	55	4	7	244	497	1	1	2	False
cell56	56	3	0	0	46	1	2	3	False
cell56	56	3	1	47	74	1	2	3	False
cell56	56	3	2	75	80	1	2	3	False
cell56	56	3	3	81	83	1	2	3	False
cell56	56	3	4	84	86	1	2	3	False
cell56	56	3	5	87	89	1	2	3	False
cell56	56	3	6	90	243	1	2	3	False
cell56	56	3	7	244	497	1	1	2	False
cell57	57	4	0	0	46	1	2	3	False
cell57	57	4	1	47	74	1	2	3	False
cell57	57	4	2	75	80	1	2	3	False
cell57	57	4	3	81	83	1	2	3	False
cell57	57	4	4	84	86	1	2	3	False
cell57	57	4	5	87	89	1	2	3	False
cell57	57	4	6	90	243	1	2	3	False
cell57	57	4	7	244	497	1	1	2	False
cell58	58	4	0	0	46	1	2	3	False
cell58	58	4	1	47	74	1	2	3	False
cell58	58	4	2	75	80	1	2	3	False
cell58	58	4	3	81	83	1	2	3	False
cell58	58	4	4	84	86	1	2	3	False
cell58	58	4	5	87	89	1	2	3	False
cell58	58	4	6	90	243	1	2	3	False
cell58	58	4	7	244	497	1	1	2	False
cell59	59	8	0	0	46	1	1	2	False
cell59	59	8	1	47	74	2	1	3	False
cell59	59	8	2	75	80	2	0	2	True
cell59	59	8	3	81	83	1	0	1	True
cell59	59	8	4	84	86	0	0	0	False
cell59	59	8	5	87	89	1	0	1	True
cell59	59	8	6	90	243	1	1	2	False
cell59	59	8	7	244	497	1	1	2	False
cell60	60	3	0	0	46	1	2	3	False
cell60	60	3	1	47	74	1	2	3	False
cell60	60	3	2	75	80	1	2	3	False
cell60	60	3	3	81	83	1	2	3	False
cell60	60	3	4	84	86	1	2	3	False
cell60	60	3	5	87	89	1	2	3	False
cell60	60	3	6	90	243	1	2	3	False
cell60	60	3	7	244	497	1	1	2	False
cell61	61	3	0	0	46	1	2	3	False
cell61	61	3	1	47	74	1	2	3	False
cell61	61	3	2	75	80	1	2	3	False
cell61	61	3	3	81	83	1	2	3	False
cell61	61	3	4	84	86	1	2	3	False
cell61	61	3	5	87	89	1	2	3	False
cell61	61	3	6	90	243	1	2	3	False
cell61	61	3	7	244	497	1	1	2	False
cell62	62	3	0	0	46	1	2	3	False
cell62	62	3	1	47	74	1	2	3	False
cell62	62	3	2	75	80	1	2	3	False
cell62	62	3	3	81	83	1	2	3	False
cell62	62	3	4	84	86	1	2	3	False
cell62	62	3	5	87	89	1	2	3	False
cell62	62	3	6	90	243	1	2	3	False
cell62	62	3	7	244	497	1	1	2	False
cell63	63	3	0	0	46	1	2	3	False
cell63	63	3	1	47	74	1	2	3	False
cell63	63	3	2	75	80	1	2	3	False
cell63	63	3	3	81	83	1	2	3	False
cell63	63	3	4	84	86	1	2	3	False
cell63	63	3	5	87	89	1	2	3	False
cell63	63	3	6	90	243	1	2	3	False
cell63	63	3	7	244	497	1	1	2	False
cell64	64	3	0	0	46	1	2	3	False
cell64	64	3	1	47	74	1	2	3	False
cell64	64	3	2	75	80	1	2	3	False
cell64	64	3	3	81	83	1	2	3	False
cell64	64	3	4	84	86	1	2	3	False
cell64	64	3	5	87	89	1	2	3	False
cell64	64	3	6	90	243	1	2	3	False
cell64	64	3	7	244	497	1	1	2	False
cell65	65	3	0	0	46	1	2	3	False
cell65	65	3	1	47	74	1	2	3	False
cell65	65	3	2	75	80	1	2	3	False
cell65	65	3	3	81	83	1	2	3	False
cell65	65	3	4	84	86	1	2	3	False
cell65	65	3	5	87	89	1	2	3	False
cell65	65	3	6	90	243	1	2	3	False
cell65	65	3	7	244	497	1	1	2	False
cell66	66	3	0	0	46	1	2	3	False
cell66	66	3	1	47	74	1	2	3	False
cell66	66	3	2	75	80	1	2	3	False
cell66	66	3	3	81	83	1	2	3	False
cell66	66	3	4	84	86	1	2	3	False
cell66	66	3	5	87	89	1	2	3	False
cell66	66	3	6	90	243	1	2	3	False
cell66	66	3	7	244	497	1	1	2	False
cell67	67	3	0	0	46	1	2	3	False
cell67	67	3	1	47	74	1	2	3	False
cell67	67	3	2	75	80	1	2	3	False
cell67	67	3	3	81	83	1	2	3	False
cell67	67	3	4	84	86	1	2	3	False
cell67	67	3	5	87	89	1	2	3	False
cell67	67	3	6	90	243	1	2	3	False
cell67	67	3	7	244	497	1	1	2	False
cell68	68	3	0	0	46	1	2	3	False
cell68	68	3	1	47	74	1	2	3	False
cell68	68	3	2	75	80	1	2	3	False
cell68	68	3	3	81	83	1	2	3	False
cell68	68	3	4	84	86	1	2	3	False
cell68	68	3	5	87	89	1	2	3	False
cell68	68	3	6	90	243	1	2	3	False
cell68	68	3	7	244	497	1	1	2	False
cell69	69	4	0	0	46	1	2	3	False
cell69	69	4	1	47	74	1	2	3	False
cell69	69	4	2	75	80	1	2	3	False
cell69	69	4	3	81	83	1	2	3	False
cell69	69	4	4	84	86	1	2	3	False
cell69	69	4	5	87	89	1	2	3	False
cell69	69	4	6	90	243	1	2	3	False
cell69	69	4	7	244	497	1	1	2	False
cell70	70	4	0	0	46	1	2	3	False
